Institute,Program,Predicted Closing Rank
"National Institute of Technology, Calicut","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Calicut","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Calicut","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Calicut","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Calicut","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Calicut","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Calicut","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Agartala","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Calicut","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Goa","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Durgapur","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Goa","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Delhi","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Meghalaya","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Information Technology (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Computer Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Computer Science and Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Electronics and Communication Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Mechanical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Civil Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Electrical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Electrical and Electronics Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Sikkim","Metallurgical and Materials Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Raipur","Chemical Engineering (4 Years, B.Tech)",23557
"National Institute of Technology, Puducherry","Computer Science and Engineering (4 Years, B.Tech)",23557
